Set,Model,Accuracy,Avg Sensitivity,Max Sensitivity,SensitivityN,Faithfulness Correlation,Sparseness,Complexity,Effective Complexity,MPRT,eMPRT
6,resnet,80.4,2.488175355732441,2.490675195902586,-0.2535972595214844,0.0226291160767141,0.7234251831087245,11.392720437049864,187073.2225,4.314465319639868e-06,3.6534384115121047e-08
6,vgg,13.3,1.1927989098131655,1.194079653173685,0.4155876934528351,0.0214352849501301,0.4730155918702287,11.94912034511566,204918.5025,3.976012735091476e-06,1.8043498464590056e-07
6,vgg,26.8,1.8487855682373049,1.8507049977779388,0.3545774817466736,0.02999971498808,0.6026921619632337,11.619111461639404,169583.65,-1.910714626549402e-05,2.5631888345402065e-07
6,vgg,42.1,3.687149854004383,3.690607939958572,0.0753829702734947,0.0236793054803274,0.7693826432271448,10.865718976259233,110523.53,-1.3405912134468884e-05,-4.725810675103369e-08
6,vgg,48.7,4.862276707231998,4.866611077487469,-0.0543050244450569,0.0136877440472017,0.8168050015215171,10.48694125175476,90367.7775,-1.0007278433053282e-05,-1.848503813378924e-07
6,vgg,57.1,5.615591402858495,5.620684692412615,-0.076874129474163,0.0124061774724395,0.8256855131288363,10.266148784160611,82058555,-6.607421353281014e-06,-2.653487478348893e-07
6,vgg,61.7,6.741498735547066,6.747473097443581,-0.213592454791069,0.0126411649982037,0.8072105008228426,9.99296002984047,82123.91,7.232973866137477e-06,-5.323723353245776e-07
6,vgg,68.1,7.04094201207161,7.04662981942296,-0.2239585816860199,0.0145847988913374,0.7925709539233675,9.930266851186753,85044.4175,-2.4902116103288447e-06,1.4738370612848384e-07
6,vgg,71.9,7.049028345137835,7.055267453789711,-0.0153230540454387,0.0163089002392371,0.7732680551540804,9.93707885503769,91604.5075,1.023495560676364e-05,1.77139113116774e-07
6,vgg,77.9,6.968485567808151,6.974872140735388,0.0221277922391891,0.0288242030638502,0.809923626079148,9.886921125650408,81717.22,4.340477395841423e-06,-1.2010935115934657e-07
6,vgg,79.9,6.65981800210476,6.665686632394791,0.2011486291885376,0.0162651982058196,0.8732162132271327,9.850032274723054,62452.3575,2.71038583860964e-05,2.0643154680817454e-07
7,convnext,19.8,1.2599981364905837,1.2611983743309976,-0.0025376097764819,-0.0012153635045433,0.545368150387868,11.90860284090042,208116.6075,1.0883679432758795e-05,1.4746789215390026e-07
7,convnext,34.1,1.4234981203079224,1.4249298080801964,0.1694367229938507,-0.0024473551704431,0.5839130212053489,11.830009050369265,199234375,-5.157154399917224e-06,-2.6343492690487746e-07
7,convnext,46.3,1.4965691904127596,1.4980193549394607,0.0111233219504356,0.0165312795979843,0.597481335807018,11.784526019096374,194278155,7.940900697763655e-06,2.0101808871500537e-07
7,convnext,52.1,1.527131631284952,1.5287078227102755,0.0155231235548853,0.0026599047544004,0.6024956135392664,11.76224059343338,191105185,-5.031962728384579e-06,2.720986389204229e-08
7,convnext,57.4,1.4456096557080746,1.4471217307448387,-0.1357043981552124,0.0001084016350796,0.5680902915554512,11.810787315368652,198000.8675,-8.552532617959977e-06,5.194084238781e-08
7,convnext,61.9,1.210098988890648,1.2114414276182652,-0.0171911846846342,0.0032009328743151,0.4815291218262947,11.988899385929107,220960.6675,-2.455825120607854e-06,2.1944729426414397e-07
7,convnext,66.3,1.0713387226313351,1.0725017360597848,-0.1084746941924095,0.0036098209562987,0.4366484954342716,12.076956057548523,231339715,1.3388548404198157e-06,-1.0248199245476862e-08
7,convnext,72.1,1.1519536973237992,1.1532746624946597,-0.0503063462674617,0.0048057692643851,0.407174686751684,12.060502820014952,232649.12,5.084811874729601e-06,-1.5991420511597145e-07
7,convnext,75.9,1.0733275492489338,1.074513236284256,-0.1845950484275818,0.0080708155099637,0.4293438226783345,12.051086418628692,225799.0525,2.320991615263566e-06,1.2364390604734882e-07
7,convnext,80.1,2.15723265427351,2.159360533207655,-0.0601369179785251,0.0100835097421077,0.7144713002149155,11.20538038134575,128480.1725,1.0073413456028673e-07,9.230308659921343e-08
7,resnet,25.6,1.1695269936919213,1.1708711126446725,0.2271822988986969,0.0010965550452237,0.4604978824974486,12.050513834953309,232125.32,-1.506665806103102e-06,3.856014983361748e-08
7,resnet,42.6,1.6541800912618634,1.655937933176756,-0.0679761469364166,0.0172562909391126,0.5587965422389902,11.870531113147736,220708155,-3.689089018585065e-07,2.956565863293164e-07
7,resnet,49.4,1.859858678132296,1.8617769712209704,0.0236479323357343,0.0077807066898822,0.5972703632575471,11.77045051574707,216012725,-1.1470567406825196e-05,1.2722203667777929e-08
7,resnet,55.7,2.050829374194145,2.0528191766142845,-0.0292300786823034,0.0135997425665846,0.6348408042827078,11.664938051700592,207561.7825,5.043848505557742e-06,-2.1408247591792346e-07
7,resnet,60.1,2.093466062694788,2.0954967707395555,0.1261179149150848,0.0149984752543969,0.6466373320957766,11.62986144065857,206175435,-3.240619827525321e-07,8.356515139863657e-08
